"id","bu_id","salesperson_id","metric","count","logged_at","note","fields_data"
"412e5bec-b85b-42b9-a0d1-1c9f35ee0667","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","c39e3928-8ae8-468f-9c35-f56c2717b405","calls","1","2026-04-22T19:34:21.396141+00:00","null","null"
"260da8b8-92cd-41b2-9dd3-16850d1e30ba","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","7976e53f-4d77-4dc7-bdba-d5b2ced03f9e","follow-up meetings","1","2026-04-22T19:34:34.869977+00:00","null","null"
"0cc23758-b3f2-46c0-aaa8-5a9567f903ba","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","7976e53f-4d77-4dc7-bdba-d5b2ced03f9e","offers","1","2026-04-22T19:34:53.979568+00:00","null","null"
"db14a336-bf31-4c30-a632-71658f0a5e67","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","7976e53f-4d77-4dc7-bdba-d5b2ced03f9e","offers","1","2026-04-22T19:34:55.823897+00:00","null","null"
"adf99f6a-392a-46b0-84a6-6cebc57cf08f","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","3910fb76-e7fa-4aa5-861d-abbace0eb0cc","calls","1","2026-04-23T06:42:57.492449+00:00","null","null"
"399725a6-ad4c-495f-be16-bda8d41aac24","e6c93224-dba7-45e9-842d-56db24d54e59","534082b6-6647-4948-b339-130eabfa3177","contacto válido","1","2026-04-23T07:31:53.248306+00:00","null","null"
"23c74bed-5037-457f-b40b-3460fd44ad2b","e6c93224-dba7-45e9-842d-56db24d54e59","1f9efa12-c350-4bdd-b2a1-3d07e515dfd9","contacto válido","1","2026-04-23T07:39:41.860165+00:00","null","null"
"9a0a617f-c53e-4ed1-b0d2-5935414289e0","e6c93224-dba7-45e9-842d-56db24d54e59","534082b6-6647-4948-b339-130eabfa3177","contacto válido","1","2026-04-23T07:44:32.532528+00:00","null","null"
"7d1a753b-758a-4a93-8543-67ee4a12c5e3","e6c93224-dba7-45e9-842d-56db24d54e59","59bf968a-db5b-4fb8-bf3e-5c2d2b2b7ee2","contacto válido","1","2026-04-23T07:45:01.00509+00:00","null","null"
"bbb30a3d-109e-47d2-b383-d4127769fff9","e6c93224-dba7-45e9-842d-56db24d54e59","59bf968a-db5b-4fb8-bf3e-5c2d2b2b7ee2","oportunidad creada (next posicionado)","1","2026-04-23T07:45:01.572401+00:00","null","null"
"9aa4a2f5-8ea6-4e06-a630-11162dd106d2","e6c93224-dba7-45e9-842d-56db24d54e59","59bf968a-db5b-4fb8-bf3e-5c2d2b2b7ee2","propuesta a analizar (need analysis)","1","2026-04-23T07:45:03.056523+00:00","null","null"
"28ef2c67-774d-4cd4-9b3c-0cc5f5c4420b","e6c93224-dba7-45e9-842d-56db24d54e59","92e65664-3249-401c-92c9-aa50575965fe","contacto válido","1","2026-04-23T07:45:11.931992+00:00","null","null"
"76b3c03b-708f-477c-9e31-81ab2189cbe4","e6c93224-dba7-45e9-842d-56db24d54e59","92e65664-3249-401c-92c9-aa50575965fe","oportunidad creada (next posicionado)","1","2026-04-23T07:45:13.612334+00:00","null","null"
"10b0e23d-28b3-4724-9c3d-82c9ae42745d","e6c93224-dba7-45e9-842d-56db24d54e59","92e65664-3249-401c-92c9-aa50575965fe","propuesta a analizar (need analysis)","1","2026-04-23T07:45:15.567516+00:00","null","null"
"4acd94b4-b9c5-466a-b806-4a2e3886ebdc","e6c93224-dba7-45e9-842d-56db24d54e59","504c5ab3-b382-4862-a4a6-416e18f4be37","propuesta a analizar (need analysis)","1","2026-04-23T07:46:17.596906+00:00","null","null"
"ce324323-333c-4316-825c-115cbc5e4a7b","e6c93224-dba7-45e9-842d-56db24d54e59","9022bc64-81a1-4ffe-9aa4-a225507b31ba","contacto válido","1","2026-04-23T07:47:04.757756+00:00","null","null"
"10f3d69d-a311-4ea6-b043-7651f38695d1","e6c93224-dba7-45e9-842d-56db24d54e59","9022bc64-81a1-4ffe-9aa4-a225507b31ba","oportunidad creada (next posicionado)","1","2026-04-23T07:47:06.47326+00:00","null","null"
"43910076-f340-40c4-bdb9-2e018ef5812a","e6c93224-dba7-45e9-842d-56db24d54e59","9022bc64-81a1-4ffe-9aa4-a225507b31ba","propuesta a analizar (need analysis)","1","2026-04-23T07:47:07.772593+00:00","null","null"
"e17f4be8-d02e-46bb-b126-db99a91fd966","e6c93224-dba7-45e9-842d-56db24d54e59","c1f40ca2-38ce-4c53-9cd8-7cabaa4500a1","contacto válido","1","2026-04-23T07:48:07.029682+00:00","null","null"
"8fd6100d-50f5-4f7e-b629-5eebe3cea257","e6c93224-dba7-45e9-842d-56db24d54e59","c1f40ca2-38ce-4c53-9cd8-7cabaa4500a1","oportunidad creada (next posicionado)","1","2026-04-23T07:48:08.923764+00:00","null","null"
"8dcc7c78-b4f8-4088-b0e4-2aaab47098a8","e6c93224-dba7-45e9-842d-56db24d54e59","c1f40ca2-38ce-4c53-9cd8-7cabaa4500a1","propuesta a analizar (need analysis)","1","2026-04-23T07:48:11.140379+00:00","null","null"
"178e58d0-c07e-40a7-8337-c725d49dd65f","e6c93224-dba7-45e9-842d-56db24d54e59","504c5ab3-b382-4862-a4a6-416e18f4be37","contacto válido","1","2026-04-23T07:48:24.042558+00:00","null","null"
"56e7487b-9eab-4aab-8d8d-d2a0bd75077e","e6c93224-dba7-45e9-842d-56db24d54e59","504c5ab3-b382-4862-a4a6-416e18f4be37","oportunidad creada (next posicionado)","1","2026-04-23T07:48:26.506402+00:00","null","null"
"294c1b79-8eff-494d-94ab-85bda2a9c364","ea8199cf-356a-4c15-9c01-c7d279f4f6b5","3910fb76-e7fa-4aa5-861d-abbace0eb0cc","calls","1","2026-04-23T07:49:46.925672+00:00","null","null"
"3d6b8e61-df52-408e-899c-d5962c8ccb3f","e6c93224-dba7-45e9-842d-56db24d54e59","1f9efa12-c350-4bdd-b2a1-3d07e515dfd9","contacto válido","1","2026-04-23T07:50:28.137105+00:00","null","null"
"9ad8b1cb-a02f-491c-aa32-43abcf3bbc76","e6c93224-dba7-45e9-842d-56db24d54e59","1f9efa12-c350-4bdd-b2a1-3d07e515dfd9","oportunidad creada (next posicionado)","1","2026-04-23T07:50:29.701994+00:00","null","null"
